"","rt","response","subj_idx","correct","stim"
"1",1.2113,"1","P001",0,"0"
"2",1.5311,"1","P001",0,"0"
"3",0.7969,"0","P001",0,"1"
"4",0.7116,"1","P001",1,"1"
"5",1.2254,"1","P001",0,"0"
"6",0.8041,"1","P001",1,"1"
"7",1.0579,"1","P001",1,"1"
"8",1.0717,"1","P001",0,"0"
"9",1.0694,"0","P001",1,"0"
"10",0.5949,"1","P001",1,"1"
"11",1.078,"0","P001",1,"0"
"12",1.2727,"0","P001",1,"0"
"13",0.8625,"1","P001",1,"1"
"14",0.8782,"1","P001",1,"1"
"15",0.7979,"0","P001",1,"0"
"16",0.9148,"1","P001",0,"0"
"17",0.5486,"1","P001",1,"1"
"18",0.8733,"1","P001",0,"0"
"19",0.6031,"1","P001",1,"1"
"20",0.6528,"1","P001",1,"1"
"21",0.8806,"1","P001",1,"1"
"22",0.9453,"1","P001",1,"1"
"23",0.9023,"0","P001",1,"0"
"24",1.1439,"1","P001",0,"0"
"25",0.8837,"0","P001",1,"0"
"26",0.8244,"1","P001",0,"0"
"27",1.0022,"0","P001",1,"0"
"28",0.9379,"0","P001",1,"0"
"29",0.7017,"1","P001",1,"1"
"30",1.0035,"0","P001",1,"0"
"31",0.9382,"1","P001",0,"0"
"32",0.715,"1","P001",1,"1"
"33",0.9157,"1","P001",1,"1"
"34",1.0016,"1","P001",0,"0"
"35",0.8142,"1","P001",1,"1"
"36",0.594,"1","P001",1,"1"
"37",0.6907,"0","P001",1,"0"
"38",0.5986,"1","P001",1,"1"
"39",0.8953,"0","P001",1,"0"
"40",1.1411,"0","P001",1,"0"
"41",0.6659,"0","P001",0,"1"
"42",0.7636,"1","P001",0,"0"
"43",0.6454,"1","P001",1,"1"
"44",0.9282,"1","P001",0,"0"
"45",0.7349,"0","P001",0,"1"
"46",0.6157,"1","P001",1,"1"
"47",1.4715,"1","P001",0,"0"
"48",0.5562,"1","P001",1,"1"
"49",1.1059,"1","P001",1,"1"
"50",0.6637,"1","P001",1,"1"
"51",0.7075,"0","P001",1,"0"
"52",1.2203,"1","P001",1,"1"
"53",1.089,"1","P001",1,"1"
"54",1.3288,"1","P001",0,"0"
"55",0.9196,"1","P001",0,"0"
"56",0.7353,"1","P001",1,"1"
"57",0.68,"1","P001",0,"0"
"58",0.7938,"0","P001",1,"0"
"59",1.0005,"1","P001",0,"0"
"60",0.5484,"1","P001",1,"1"
"61",0.7842,"0","P001",1,"0"
"62",0.8969,"1","P001",0,"0"
"63",0.8677,"0","P001",1,"0"
"64",0.8934,"1","P001",0,"0"
"65",0.6722,"1","P001",1,"1"
"66",1.319,"0","P001",0,"1"
"67",0.7907,"1","P001",1,"1"
"68",0.8905,"1","P001",0,"0"
"69",1.2652,"0","P001",1,"0"
"70",1.07,"1","P001",0,"0"
"71",1.0648,"1","P001",0,"0"
"72",1.3175,"1","P001",0,"0"
"73",0.6243,"1","P001",1,"1"
"74",0.8291,"0","P001",1,"0"
"75",0.8169,"0","P001",1,"0"
"76",0.7015,"1","P001",1,"1"
"77",1.1494,"1","P001",0,"0"
"78",1.2072,"1","P001",0,"0"
"79",0.9829,"1","P001",0,"0"
"80",1.3146,"0","P001",0,"1"
"81",0.9953,"0","P001",1,"0"
"82",0.7791,"1","P001",1,"1"
"83",0.714,"1","P001",0,"0"
"84",1.468,"1","P002",1,"1"
"85",2.1707,"1","P002",1,"1"
"86",1.2575,"0","P002",1,"0"
"87",0.7091,"1","P002",1,"1"
"88",1.3829,"1","P002",0,"0"
"89",0.6629,"1","P002",1,"1"
"90",1.3635,"1","P002",0,"0"
"91",1.2794,"1","P002",0,"0"
"92",0.6081,"0","P002",1,"0"
"93",0.5077,"1","P002",1,"1"
"94",1.0546,"0","P002",1,"0"
"95",1.1974,"0","P002",1,"0"
"96",0.878,"1","P002",1,"1"
"97",0.7038,"1","P002",0,"0"
"98",1.1787,"0","P002",1,"0"
"99",0.7173,"1","P002",1,"1"
"100",0.4941,"1","P002",1,"1"
"101",1.3148,"1","P002",1,"1"
"102",0.5907,"1","P002",1,"1"
"103",0.5274,"1","P002",1,"1"
"104",0.5741,"1","P002",0,"0"
"105",0.734,"1","P002",1,"1"
"106",0.9088,"0","P002",1,"0"
"107",1.5114,"1","P002",0,"0"
"108",1.2984,"0","P002",0,"1"
"109",1.947,"1","P002",0,"0"
"110",1.7558,"0","P002",1,"0"
"111",1.6025,"0","P002",1,"0"
"112",0.5912,"1","P002",1,"1"
"113",0.8831,"0","P002",0,"1"
"114",0.5498,"1","P002",1,"1"
"115",0.9705,"1","P002",1,"1"
"116",0.9263,"1","P002",1,"1"
"117",0.6922,"1","P002",1,"1"
"118",1.4819,"1","P002",1,"1"
"119",0.4816,"1","P002",1,"1"
"120",0.9793,"0","P002",1,"0"
"121",0.9633,"1","P002",1,"1"
"122",0.6099,"0","P002",0,"1"
"123",1.1537,"0","P002",1,"0"
"124",0.6774,"0","P002",0,"1"
"125",1.1332,"1","P002",1,"1"
"126",0.7579,"1","P002",0,"0"
"127",0.8599,"1","P002",1,"1"
"128",1.7556,"0","P002",0,"1"
"129",0.5604,"1","P002",1,"1"
"130",0.8721,"1","P002",1,"1"
"131",0.5179,"1","P002",1,"1"
"132",0.5567,"1","P002",1,"1"
"133",0.6363,"1","P002",0,"0"
"134",0.8452,"0","P002",1,"0"
"135",0.863,"1","P002",0,"0"
"136",1.1137,"1","P002",0,"0"
"137",1.5795,"1","P002",0,"0"
"138",0.8072,"1","P002",1,"1"
"139",0.526,"1","P002",1,"1"
"140",0.8361,"1","P002",0,"0"
