Participant.ID,PRE.POST,Trial_type,LR_recipmodel,inv_recipmodel,Excl_LR,Excl_Inv
P001,NA,Win,0.243455268,1.510602451,0.53550898,-0.086433307
P002,NA,Win,0.022286189,3.380453298,0.094717348,1.044979924
P003,NA,Win,0.200525645,-0.515332855,0.185959974,-0.499102233
P004,NA,Win,0.351786736,0.182982336,0.402864488,-0.588421959
P005,NA,Win,0.039206017,3.783843112,0.041783042,3.582285402
P006,NA,Win,0.039280893,2.462860245,0.398359315,-0.632032411
P007,NA,Win,0.060956841,2.383174221,0.100448273,1.853833958
P008,NA,Win,0.073069272,4.625422876,0.071691284,4.546268576
P009,NA,Win,0.481519477,1.062314989,0.786750808,0.06898064
P010,NA,Win,0.193633673,-0.99965204,0.223926977,-0.930410283
P011,NA,Win,0.02326882,3.970439628,0.028154833,3.84923435
P012,NA,Win,0.040099787,3.931567045,0.059548895,3.622726791
P013,NA,Win,0.042117265,2.892681445,0.024364615,3.379837934
P014,NA,Win,0.063704141,3.335880785,0.061053857,3.850069435
P015,NA,Win,0.029838157,4.187910768,0.03284039,3.929712948
P016,NA,Win,0.034380767,4.48834768,0.032030453,4.428178786
P017,NA,Win,0.195783906,-1.084297201,0.295652557,-0.888812071
P018,NA,Win,0.027663075,3.288281493,0.159808978,0.869829013
P019,NA,Win,0.034534163,4.107982169,0.035535268,3.911181111
P020,NA,Win,0.070901911,2.520385257,0.23988182,0.435598525
P021,NA,Win,0.4908085,-1.062914191,0.455609259,-0.999918735
P022,NA,Win,0.251750889,-0.575982895,0.275707998,-0.415427308
P023,NA,Win,0.020234408,3.940594172,0.023613362,3.822697545
P024,NA,Win,0.035924953,4.577435973,0.034433724,4.509733524
P025,NA,Win,0.214461773,2.192589035,0.268723613,1.828174228
P026,NA,Win,0.032636282,3.824697053,0.041306349,3.572426928
P027,NA,Win,0.471490473,0.411111185,0.596358666,0.271917579
P028,NA,Win,0.241600263,-0.411723786,0.160358667,0.663307275
P029,NA,Win,0.233039757,-0.72218993,0.326794852,-0.361921358
P030,NA,Win,0.202390195,-0.130626759,0.269202528,-0.697969654
P031,NA,Win,0.194680546,2.335625965,0.095666164,2.925390756
P032,NA,Win,0.037229972,3.711731468,0.044231543,3.634262748
P033,NA,Win,0.270025072,2.001469376,0.443736031,1.331899582
P034,NA,Win,0.033205148,3.106075954,0.156555182,0.290523074
P035,NA,Win,0.067645589,3.317070625,0.087699772,2.926204801
P036,NA,Win,0.138729801,2.870837107,0.027842518,3.978192088
P037,NA,Win,0.027459615,4.422164426,0.033184604,4.533506023
P038,NA,Win,0.063578488,2.984992072,0.066338924,2.727563973
P039,NA,Win,0.02690124,3.221193906,0.03726488,3.546789981
P040,NA,Win,0.04167654,3.165587736,0.071691284,4.546268576
P041,NA,Win,0.08283921,2.534170698,0.11178317,1.834898312
P042,NA,Win,0.026724456,3.708240886,0.030157563,3.616542104
P043,NA,Win,0.106360304,2.63571769,0.11861999,2.151386399
P044,NA,Win,0.033338542,2.827749563,0.047105768,2.864522431
P045,NA,Win,0.029700002,4.266188649,0.043531408,4.27349504
P046,NA,Win,0.061973683,2.986510076,0.056307528,2.955264475
P047,NA,Win,0.150238308,2.587632072,0.188783661,2.204556408
P048,NA,Win,0.117604772,2.436488728,0.069011774,4.487284755
P049,NA,Win,0.02557816,4.50967761,0.029846455,4.603515568
P050,NA,Win,0.054523639,1.541246003,0.026740385,3.19645531
P051,NA,Win,0.06726148,2.774936534,0.089882879,2.081413474
P052,NA,Win,0.022499505,4.053352968,0.033431794,3.335486391
P054,NA,Win,0.022076997,3.993260183,0.023970511,3.7774756
P055,NA,Win,0.12118018,3.115327776,0.142444735,3.037486067
P056,NA,Win,0.020564357,3.931633859,0.023965443,3.901157004
P057,NA,Win,0.215488931,2.493872975,0.033087196,4.091555642
P058,NA,Win,0.029279247,4.135133054,0.034137068,3.810491421
P059,NA,Win,0.120340415,1.565682152,0.120423605,1.486222574
P001,NA,Loss,0.222828575,0.67176486,0.051593826,1.301290353
P002,NA,Loss,0.225329313,-0.761163644,0.405634304,-1.346673634
P003,NA,Loss,0.189911527,-1.432663909,0.212719532,-1.183898707
P004,NA,Loss,0.082278596,-0.089994365,0.117489001,-1.120903858
P005,NA,Loss,0.937502099,0.498110517,0.915487372,0.500856817
P006,NA,Loss,0.540829774,-0.600209631,0.425562035,-1.318745232
P007,NA,Loss,0.454485938,-0.031335777,0.503400822,-0.323060371
P008,NA,Loss,0.021308671,1.520428335,0.033706069,0.956796722
P009,NA,Loss,0.648019849,-0.302196608,0.493336913,0.053119273
P010,NA,Loss,0.40461749,-1.427472434,0.33905898,-1.49245729
P011,NA,Loss,0.026512279,1.985987655,0.045277146,2.003834638
