subj_idx,a(0),st,sz,t(0),v(0),z_trans(0)
P001,1.458416492,0.146743546,0.200529474,0.136131656,0.480453528,0.633112761
P002,1.474717443,0.208271898,0.189835971,0.176288654,0.439320652,0.979733989
P003,1.491550146,0.160693251,0.16179036,0.125662723,1.364785954,0.464796046
P004,1.42875043,0.178605647,0.189388663,0.144484144,0.680901752,0.732413534
P005,1.497848656,0.169640356,0.184697315,0.145579841,0.411543219,0.912257103
P006,1.551955713,0.166282762,0.171151945,0.164475629,0.912920841,0.875452252
P007,1.422461886,0.163983893,0.200667584,0.154129456,0.51892481,0.854811457
P008,1.467473363,0.151025226,0.252943452,0.124472892,0.735118886,0.480448961
P009,1.558424262,0.133550957,0.285323046,0.104901013,0.957663238,0.55434679
P010,1.474359697,0.184505582,0.244980783,0.11818732,0.9832244,0.498039396
P011,1.465784453,0.184659097,0.176654632,0.172485776,0.598873568,0.947675192
P012,1.545525425,0.219452285,0.176968033,0.16117188,0.531330754,0.871373451
P013,1.52148583,0.173326937,0.228878332,0.164039012,0.379366649,0.775911983
P014,1.509313373,0.16622263,0.212066926,0.1261222,0.855882228,0.427667189
P015,1.419015992,0.176213139,0.181633937,0.141282735,0.276078687,0.749648657
P016,1.41190479,0.226232198,0.18570312,0.170170998,0.701578963,0.760478585
P017,1.373591916,0.171551859,0.14399454,0.149433085,0.499890347,0.921198375
P018,1.52903253,0.16339283,0.170291452,0.155962839,0.741843347,0.708555024
P019,1.536806851,0.155320617,0.23667574,0.118055296,1.18035327,0.562416041
P020,1.588987573,0.191562112,0.254195961,0.131689091,0.39005357,0.800895274
P021,1.508675632,0.171597274,0.165728771,0.16613434,0.547955548,0.989645618
P022,1.446676154,0.16853852,0.193947151,0.117469212,0.632447681,0.539920816
P023,1.555240242,0.175208543,0.175339999,0.131765809,0.314873723,0.854594978
P024,1.553357491,0.170039625,0.155795779,0.130920168,0.859065955,0.669608918
P025,1.621029427,0.156465174,0.163601735,0.133310862,0.421092449,0.888729374
P026,1.48784923,0.189512337,0.230433863,0.165224721,0.549263456,0.968215106
P027,1.593540312,0.129426074,0.246620333,0.11886614,0.825688429,0.628515714
P028,1.493346612,0.178552299,0.193819515,0.134867379,0.586139637,0.727449256
P029,1.647531869,0.144930608,0.346392253,0.113487799,0.731481944,0.48828538
P030,1.489892358,0.193623253,0.303254727,0.151768303,0.835642348,0.575304083
