subj_idx,param,rhat
P001,a(0),1.0017220388612627
P001,a(1),1.0010208991876985
P001,v(0),1.0003710150639682
P001,v(1),1.0008259268453972
P001,t(0),1.0029880906573319
P001,t(1),1.0014561355968101
P001,sz,1.0015212502384838
P001,st,1.0018889153516584
P001,z_trans(0),1.0001507694585505
P001,z_trans(1),1.0011471712819584
P002,a(0),1.0025130475849997
P002,a(1),1.0004280117540074
P002,v(0),1.0008285576776716
P002,v(1),1.0013525479646799
P002,t(0),1.0036268538503335
P002,t(1),1.0008289004142903
P002,sz,0.9998932149157284
P002,st,1.0027609545110046
P002,z_trans(0),1.0008414872941216
P002,z_trans(1),1.0012539267115035
P003,a(0),1.001257452558955
P003,a(1),1.0014864136995512
P003,v(0),1.0001160642250029
P003,v(1),1.000494034995125
P003,t(0),1.0029243131092103
P003,t(1),1.0006923291750829
P003,sz,1.0015002601594782
P003,st,1.0004236474454444
P003,z_trans(0),1.000100171345075
P003,z_trans(1),1.00072652063364
P004,a(0),1.000570109691535
P004,a(1),1.0010029112404657
P004,v(0),1.0011092422141767
P004,v(1),1.0009209336956464
P004,t(0),1.0004852935383794
P004,t(1),1.0012389032940683
P004,sz,1.0004211721500986
P004,st,1.0004062897302008
P004,z_trans(0),1.0011384852026879
P004,z_trans(1),1.0013127572267846
P005,a(0),1.000253141316525
P005,a(1),1.0027561041235196
P005,v(0),1.000496468738055
P005,v(1),1.0016733919528413
P005,t(0),1.0006573263276364
P005,t(1),1.0051682381892706
P005,sz,1.0006915904577156
P005,st,1.0021552385496133
P005,z_trans(0),1.000853670877292
P005,z_trans(1),1.0024614261854299
P006,a(0),1.0002508138659552
P006,a(1),1.0018727690744207
P006,v(0),1.0005149761387697
P006,v(1),1.0007025197348778
P006,t(0),1.0011008150536989
P006,t(1),1.0049559181127647
P006,sz,1.0011276249368852
P006,st,1.0035043596311581
P006,z_trans(0),1.0006177063884574
P006,z_trans(1),1.0024029922637328
P007,a(0),1.000611437316222
P007,a(1),1.0050811927838164
P007,v(0),1.0015817939799174
P007,v(1),1.004029609190988
P007,t(0),1.0005651629484327
P007,t(1),1.0054578032283645
P007,sz,1.0011447708163652
P007,st,1.0009279704206941
P007,z_trans(0),1.0014957400007332
P007,z_trans(1),1.0036559664737519
P008,a(0),1.0008396735615697
P008,a(1),1.0036850626954334
P008,v(0),1.0009375246933065
P008,v(1),1.0066554619420753
P008,t(0),1.0017173530852947
P008,t(1),1.0084295339507183
P008,sz,1.0004942784889992
P008,st,1.0031769564161175
P008,z_trans(0),1.0007913866926317
P008,z_trans(1),1.0061491128290763
P009,a(0),1.0020192625005457
P009,a(1),1.0028480228751293
P009,v(0),1.0003993881030038
P009,v(1),1.0021018386774956
P009,t(0),1.0021313966003331
P009,t(1),1.0028004542939073
P009,sz,1.0013659618693103
P009,st,1.0008337703330332
P009,z_trans(0),1.0008216004526527
P009,z_trans(1),1.001839208083766
P010,a(0),1.0003793619298165
P010,a(1),1.0002472035208438
P010,v(0),1.0004810219287839
P010,v(1),1.0006880985743496
P010,t(0),1.0005109333354
P010,t(1),1.0023266573424274
P010,sz,1.0006971481253282
P010,st,1.0006523916449483
P010,z_trans(0),1.0004001699340095
P010,z_trans(1),1.0018614157603198
P011,a(0),1.0009081769940176
P011,a(1),1.0024239227398044
P011,v(0),1.0013916487671943
P011,v(1),1.0011328694578867
P011,t(0),1.002303446978518
P011,t(1),1.0027983372414238
P011,sz,1.0006309788833256
P011,st,1.0016650730016425
P011,z_trans(0),1.0015801909249993
P011,z_trans(1),1.0010031981850787
P012,a(0),1.0016915262842385
P012,a(1),1.0020179474422672
P012,v(0),1.0001774570937434
P012,v(1),1.0022208392921452
P012,t(0),1.0019912707905676
P012,t(1),1.0038330119980723
P012,sz,1.0001781139802084
P012,st,1.0010885222065844
P012,z_trans(0),1.0007111681738488
P012,z_trans(1),1.0021218847855407
P013,a(0),1.0023146901668185
P013,a(1),1.0033556687572667
P013,v(0),1.0006818390044558
P013,v(1),1.0038167850035358
P013,t(0),1.0019875800617946
P013,t(1),1.0047836770732121
P013,sz,1.00018631685242
P013,st,1.0016017646984667
P013,z_trans(0),1.0009606798969082
P013,z_trans(1),1.0054977227768196
P014,a(0),1.0011937988677366
P014,a(1),1.0018542705839717
P014,v(0),1.0008639870234064
P014,v(1),1.0009361231544884
P014,t(0),1.0029388926987626
P014,t(1),1.0036285302336594
P014,sz,1.0016809979361085
P014,st,1.0034914500127623
P014,z_trans(0),1.0008338075514065
P014,z_trans(1),1.0008358713405066
P015,a(0),1.0010476163221185
P015,a(1),1.0060283903366205
P015,v(0),1.000170621764058
P015,v(1),1.0016990463536508
P015,t(0),1.0007880240401266
P015,t(1),1.004398674364474
P015,sz,1.0007465265352629
P015,st,1.0001038803456719
P015,z_trans(0),1.0007069278876581
P015,z_trans(1),1.0044115222055057
P016,a(0),1.0009271452813835
P016,a(1),1.0022037433061497
P016,v(0),1.000441866523144
P016,v(1),1.0010718801148337
P016,t(0),1.0017328638384781
P016,t(1),1.003821733219105
P016,sz,1.0009596737038833
P016,st,1.0015477839346028
P016,z_trans(0),1.0007752888898023
P016,z_trans(1),1.0020263405256926
P017,a(0),1.0009051503927446
P017,a(1),1.0009991398935467
P017,v(0),1.000536446867522
P017,v(1),1.0011545897694611
P017,t(0),1.0020032469189823
P017,t(1),1.002855171320315
P017,sz,1.0007818176350853
P017,st,1.0011777670420465
P017,z_trans(0),1.0003851463244298
P017,z_trans(1),1.0013041060674464
P018,a(0),1.0025479114787166
P018,a(1),1.004480021537423
P018,v(0),1.0009005179947394
P018,v(1),1.0017097480485753
P018,t(0),1.0043475627256095
P018,t(1),1.0073584534828255
P018,sz,1.000637737070569
P018,st,1.0064908721202441
P018,z_trans(0),1.0013846962400608
P018,z_trans(1),1.0034698005290696
P019,a(0),1.0007944085155664
P019,a(1),1.0031604788370083
P019,v(0),1.0004752373790398
P019,v(1),1.00234548944525
P019,t(0),1.0010362752965345
P019,t(1),1.0059487852791151
P019,sz,1.0008264744036324
P019,st,1.0016228020172784
P019,z_trans(0),1.0004505940143016
P019,z_trans(1),1.0052791200430569
P020,a(0),1.0001405483615828
P020,a(1),1.0009449273704947
P020,v(0),1.000312217536035
P020,v(1),1.00159350430289
P020,t(0),1.0005377275804104
P020,t(1),1.003865506477417
P020,sz,1.0012355061653833
P020,st,1.000654191296677
P020,z_trans(0),1.0002503455208585
P020,z_trans(1),1.003944710225374
P021,a(0),1.0012997909025392
P021,a(1),1.002685069344941
P021,v(0),1.0005868216709795
P021,v(1),1.0037368724161084
P021,t(0),1.0018293677827383
P021,t(1),1.0032006092105825
P021,sz,1.0003024096535957
P021,st,1.0023858869458997
P021,z_trans(0),1.000650072181932
P021,z_trans(1),1.0023610033200596
P022,a(0),1.0015559831898242
P022,a(1),1.0010297899966205
P022,v(0),1.0002562476978791
P022,v(1),1.000737735447156
P022,t(0),1.0015114449359133
P022,t(1),1.0019570788131218
P022,sz,1.0010257349458098
P022,st,1.0019522958749547
P022,z_trans(0),1.0005969527844767
P022,z_trans(1),1.0027462708885533
P023,a(0),1.0011334108799315
P023,a(1),1.003604670796906
P023,v(0),1.0000813365194707
P023,v(1),1.0030090367237592
P023,t(0),1.001782519078858
P023,t(1),1.0080794139094633
P023,sz,1.000181487849506
P023,st,1.0027327954588723
P023,z_trans(0),1.0002366768208544
P023,z_trans(1),1.0056800093089724
P024,a(0),1.0005287523297346
P024,a(1),1.0006189483674062
P024,v(0),1.0003971075383087
P024,v(1),1.000744937449022
P024,t(0),1.0004492688861026
P024,t(1),1.0024505096530434
P024,sz,1.0002871177828994
P024,st,1.001512897866713
P024,z_trans(0),1.0003663645839216
P024,z_trans(1),1.0012412513085813
P025,a(0),1.000803764645407
P025,a(1),1.0032942003299437
P025,v(0),1.0007354526165038
P025,v(1),1.0040100963962735
P025,t(0),1.0006836564791564
P025,t(1),1.010116130812389
P025,sz,1.0002835500175324
P025,st,1.0041227871169405
P025,z_trans(0),1.0006047386524821
P025,z_trans(1),1.0067300744130445
P026,a(0),1.0010980881800529
P026,a(1),1.0030930750971088
P026,v(0),1.0003503008194876
P026,v(1),1.001448276288168
P026,t(0),1.000414832390412
P026,t(1),1.0036627474221191
P026,sz,1.000646230462042
P026,st,1.0009495902091503
P026,z_trans(0),1.0000608297034017
P026,z_trans(1),1.0019958046961417
P027,a(0),0.9999911646028585
P027,a(1),1.0038260488467254
P027,v(0),1.000457126069829
P027,v(1),1.0027593780976054
P027,t(0),1.0004630709783506
P027,t(1),1.0039852802098526
P027,sz,1.0002907178375247
P027,st,1.0007686479590996
P027,z_trans(0),1.000074626727111
P027,z_trans(1),1.0019467644353546
P028,a(0),1.0007356651805228
P028,a(1),1.0021044542960649
P028,v(0),1.0001807477573132
P028,v(1),1.0013323282398054
P028,t(0),1.0004539905650691
P028,t(1),1.0010513366076188
P028,sz,1.00020094552506
P028,st,1.0002258600077618
P028,z_trans(0),1.0004185293996706
P028,z_trans(1),1.0018254992834734
P029,a(0),1.0003481058572814
P029,a(1),1.0002102542073812
P029,v(0),0.9999648064351438
P029,v(1),1.0002647483189535
P029,t(0),1.0008266749340804
P029,t(1),1.003420825826602
P029,sz,1.0001786845370495
P029,st,1.0011418898494155
P029,z_trans(0),0.9999582247691209
P029,z_trans(1),1.002006408524827
P030,a(0),1.000357152633682
P030,a(1),1.0012585990814307
P030,v(0),1.0003987701292845
P030,v(1),1.0006516841739612
P030,t(0),1.000511540207555
P030,t(1),1.0015399217677785
P030,sz,1.0005455068621596
P030,st,1.0010833968408521
P030,z_trans(0),1.0003604448321368
P030,z_trans(1),1.001202190019222
P031,a(0),1.0013691884195992
P031,a(1),1.0026218613664062
P031,v(0),1.0003782098649434
P031,v(1),1.0021480188203193
P031,t(0),1.0020164214958893
P031,t(1),1.0011902859131299
P031,sz,1.0009798395423368
P031,st,1.0004489642208287
P031,z_trans(0),1.0002757214274176
P031,z_trans(1),1.0009890204272187
P032,a(0),1.0007090141609605
P032,a(1),1.0018597252261359
P032,v(0),1.0004654125664747
P032,v(1),1.0014236498916997
P032,t(0),1.0002084206877941
P032,t(1),1.0026530231573876
P032,sz,1.000751309234842
P032,st,1.0009153500169548
P032,z_trans(0),1.00101742028677
P032,z_trans(1),1.0033812058477698
P033,a(0),1.0047326158555054
P033,a(1),1.0024380787054306
P033,v(0),1.0039634162472297
P033,v(1),1.0016302574075395
P033,t(0),1.006872030966203
P033,t(1),1.003192353621299
P033,sz,1.000562363344981
P033,st,1.008777906172121
P033,z_trans(0),1.0049272365427415
P033,z_trans(1),1.002364048574133
P034,a(0),1.002931333041277
P034,a(1),1.0015591344710584
P034,v(0),1.0002830925564412
P034,v(1),1.0004621611565176
P034,t(0),1.0040574306375276
P034,t(1),1.0008891274970155
P034,sz,1.0007220793154816
P034,st,1.0029013191644878
P034,z_trans(0),1.0002080145336854
P034,z_trans(1),1.000901477574463
P035,a(0),1.000410043220884
P035,a(1),1.0005790556259069
P035,v(0),1.0001211708068904
P035,v(1),1.0002208760102942
P035,t(0),1.0007611744877913
