Participant.ID,a(0),a(1),st,sz,t(0),t(1),v(0),v(1),z_trans(0),z_trans(1)
P001,1.080422289,1.140712225,0.241387106,0.213687432,0.722609946,0.558938779,0.587801769,1.569821219,-0.274052811,0.284795778
P002,1.461759826,1.51563308,0.197551515,0.213842241,0.575345034,0.431370062,0.013959804,1.027833,0.146611905,0.219228782
P003,1.681244688,1.680375807,0.125347409,0.226547481,0.59787938,0.42735477,0.199628939,1.326969334,-0.051099083,-0.007853621
P004,1.719901644,1.941714443,0.268256622,0.183691054,0.870457663,0.80352815,0.403994089,0.903589618,-0.047474355,-0.043185657
P005,1.848439167,2.969905034,0.199173969,0.19762264,0.625883525,0.435093546,-0.0530814,1.961118348,0.028150781,-0.055689343
P006,1.827217171,1.496950566,0.299250075,0.186647492,0.778272188,0.671570547,0.281128593,0.93705042,-0.146753128,0.373517102
P007,1.172144114,1.742465054,0.364153628,0.213588303,0.675574523,0.579947593,0.161624458,2.002859204,-0.317747341,0.112576072
P008,1.806920487,2.924126306,0.155940543,0.187317011,0.57581522,0.399407073,-0.216969498,1.86243998,-0.351813825,0.09711652
P009,1.03086945,1.945550124,0.106147062,0.204151221,0.585422003,0.474245206,-0.38266725,2.248108328,0.042400585,0.172555246
P010,2.228248513,2.534278777,0.152271393,0.18016861,0.516395192,0.471359244,-0.195494772,0.914974893,0.030124979,0.520101397
P011,1.332766199,2.033233624,0.149043792,0.210545562,0.681364714,0.488793481,-0.062562081,1.186739061,-0.193751072,0.263123601
P012,1.370297923,2.213363768,0.295685641,0.182460557,0.676062354,0.494778522,-0.498533992,1.806100749,-0.023536756,0.314263228
P013,1.245669516,2.748359479,0.312478792,0.182442876,0.946755693,0.603733496,0.301864683,1.93093124,-0.494366692,0.092711873
P014,1.246902477,2.423483956,0.126201564,0.197392216,0.604479941,0.444039342,0.09383564,2.137162674,-0.208484555,0.116137085
P015,1.115420165,2.629045293,0.270980723,0.218105986,0.660264061,0.485253211,0.308506371,2.339407189,-0.088027677,-0.043731291
P016,1.309376549,1.839593668,0.164415511,0.211911805,0.669861548,0.532907373,-0.256552698,1.528289103,0.05276357,0.074602096
P017,1.588187756,2.337123783,0.165093191,0.187718843,0.603383542,0.472559996,0.235875115,1.813296458,-0.191760207,0.323351637
P018,1.168993585,2.014102865,0.371446794,0.204434999,0.868692717,0.586820907,-0.290101319,1.951850362,0.093113114,0.028336386
P019,1.239328383,2.274278163,0.242680531,0.211863244,0.660573673,0.518397295,-0.450580393,1.969126037,0.04124917,0.24026669
P020,1.281581752,1.848630554,0.093763654,0.199128944,0.602170965,0.578647118,0.023502361,1.787583139,-0.194138233,0.449381472
