Participant.ID,condition,a,st,sv,t,v,qtarget_corr_acc,qtarget_incorr_acc,qtarget_corr_acc_perc,no_qtarget_incorr_acc,no_qtarget_corr_acc,Overall_acc,Overall_acc_perc,qtarget_adjusted_score,qtarget_adjusted_score_2,log_adjusted_score,log_adjusted_score_2,dprime,beta,aprime,bppd,c,mean_RT_all,mean_RT_qtar,mean_RT_non_qtar
P001,0-back,0.779462415,0.066312988,1.201323839,0.308237602,3.491492808,8,2,80,2,28,36,90,6,32,3.135494216,3.80666249,2.148603656,2.016568137,NA,NA,0.326443233,402.6862664,402.6862664,402.6862664
P001,1-back,0.902663637,0.16360129,1.238913193,0.309355377,4.351378269,9,1,90,1,29,38,95,8,36,3.218875825,3.891820298,2.757501173,2.175958484,NA,NA,0.281947024,409.3148353,409.3148353,409.3148353
P001,2-back,0.934655028,0.121770805,2.276130634,0.328259035,4.023217551,8,2,80,2,28,36,90,6,32,3.135494216,3.80666249,2.148603656,2.016568137,NA,NA,0.326443233,442.3956079,442.3956079,442.3956079
P001,3-back,0.861723454,0.279458795,1.631610806,0.336657286,3.204617855,8,2,80,3,27,35,87.5,5,30,3.091042453,3.761200116,1.93151641,2.238706023,NA,NA,0.417235922,451.1935368,451.1935368,451.1935368
P002,0-back,1.340496394,0.045695043,1.061228731,0.225273177,5.994548737,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,337.6411946,337.6411946,337.6411946
P002,1-back,1.346939322,0.259241652,1.172314429,0.298231233,4.142176378,10,0,100,2,28,38,95,8,36,3.218875825,3.891820298,2.983804545,6.406763151,NA,NA,0.622478499,467.7496104,467.7496104,467.7496104
P002,2-back,1.255461369,0.658801322,1.272746859,0.548214665,2.311382294,8,2,80,4,26,34,85,4,28,3.044522438,3.713572067,1.760214044,2.345774248,NA,NA,0.484381726,805.1728993,805.1728993,805.1728993
P002,3-back,1.954754732,0.611276685,0.966158466,0.388866483,1.798318937,8,2,80,3,27,35,87.5,5,30,3.091042453,3.761200116,1.93151641,2.238706023,NA,NA,0.417235922,918.999807,918.999807,918.999807
P003,0-back,1.499066537,0.051884958,1.515352322,0.28377305,5.857717933,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,427.3877592,427.3877592,427.3877592
P003,1-back,1.714612126,0.10382693,0.874929648,0.274943974,4.844685713,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,454.7799815,454.7799815,454.7799815
P003,2-back,1.070623614,0.314180899,1.775225023,0.455473456,4.00633481,8,2,80,1,29,37,92.5,7,34,3.17805383,3.850147602,2.454230527,1.596761119,NA,NA,0.190681874,593.1899994,593.1899994,593.1899994
P003,3-back,1.496605298,0.304077477,2.160191469,0.395083941,3.881836472,8,2,80,1,29,37,92.5,7,34,3.17805383,3.850147602,2.454230527,1.596761119,NA,NA,0.190681874,631.5348279,631.5348279,631.5348279
P004,0-back,1.697351856,0.12266127,1.122464503,0.323322638,5.396554586,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,519.5711589,519.5711589,519.5711589
P004,1-back,1.884393653,0.285999273,0.782553906,0.3500468,5.499706059,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,527.9402571,527.9402571,527.9402571
P004,2-back,1.29053701,0.362058427,0.870711959,0.40548555,2.192368187,8,2,80,3,27,35,87.5,5,30,3.091042453,3.761200116,1.93151641,2.238706023,NA,NA,0.417235922,665.8593554,665.8593554,665.8593554
P004,3-back,1.762218499,0.308266387,2.065759244,0.341920519,2.585047128,6,4,60,2,28,34,85,4,28,3.044522438,3.713572067,1.68625936,1.533817856,NA,NA,0.253673882,714.2812812,714.2812812,714.2812812
P005,0-back,1.457639708,0.185574493,1.369112473,0.336318635,4.426376479,10,0,100,2,28,38,95,8,36,3.218875825,3.891820298,2.983804545,6.406763151,NA,NA,0.622478499,510.3267263,510.3267263,510.3267263
P005,1-back,2.228650283,0.844156042,0.670543867,0.586843912,3.959845081,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,919.7784987,919.7784987,919.7784987
P005,2-back,2.57772198,0.275941677,1.974268351,0.610502439,2.919757349,7,3,70,3,27,34,85,4,28,3.044522438,3.713572067,1.684021252,1.862234035,NA,NA,0.369221505,1004.281891,1004.281891,1004.281891
P005,3-back,1.78748541,0.468214679,2.137243627,0.367801536,2.105085973,4,6,40,3,27,31,77.5,1,22,2.890371758,3.555348061,1.030879819,1.446559807,NA,NA,0.358129225,800.3719602,800.3719602,800.3719602
P006,0-back,1.977029982,0.263532845,0.696806721,0.32058839,3.688902805,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,601.4149897,601.4149897,601.4149897
P006,1-back,1.146024935,0.344387568,1.263497118,0.564516538,3.731551408,8,2,80,0,30,38,95,8,36,3.218875825,3.891820298,3.027418978,0.786071085,NA,NA,-0.079509329,719.9623262,719.9623262,719.9623262
P006,2-back,2.6766314,0.19545704,0.899890756,0.487912878,3.295149357,9,1,90,1,29,38,95,8,36,3.218875825,3.891820298,2.757501173,2.175958484,NA,NA,0.281947024,920.958671,920.958671,920.958671
P006,3-back,1.626469031,0.482805931,1.891659243,0.547728625,2.720160375,8,2,80,3,27,35,87.5,5,30,3.091042453,3.761200116,1.93151641,2.238706023,NA,NA,0.417235922,879.9704314,879.9704314,879.9704314
P007,0-back,1.103238643,0.087808102,1.131608245,0.295975091,4.567142437,10,0,100,2,28,38,95,8,36,3.218875825,3.891820298,2.983804545,6.406763151,NA,NA,0.622478499,415.4317881,415.4317881,415.4317881
