"","rt","response","subj_idx","condition","correct","stim","Allocation"
"1",0.477451407889021,"0","P001","3-back",1,"0","ACTIVE"
"2",0.326539841265912,"0","P001","0-back",1,"0","ACTIVE"
"3",0.332365855796525,"1","P001","0-back",1,"1","ACTIVE"
"4",0.389916254927812,"0","P001","0-back",1,"0","ACTIVE"
"5",0.401807146852661,"0","P001","0-back",1,"0","ACTIVE"
"6",0.32146213930173,"0","P001","0-back",1,"0","ACTIVE"
"7",0.375167406167748,"1","P001","1-back",1,"1","ACTIVE"
"8",0.370779234111978,"0","P001","1-back",1,"0","ACTIVE"
"9",0.313287306616985,"0","P001","1-back",1,"0","ACTIVE"
"10",0.44649098634909,"0","P001","1-back",1,"0","ACTIVE"
"11",0.481840201988234,"0","P001","1-back",1,"0","ACTIVE"
"12",0.335745392094395,"0","P001","1-back",1,"0","ACTIVE"
"13",0.355467440316716,"1","P001","1-back",1,"1","ACTIVE"
"14",0.337026480810891,"0","P001","1-back",1,"0","ACTIVE"
"15",0.319036188342579,"1","P001","1-back",1,"1","ACTIVE"
"16",0.352404521723656,"0","P001","0-back",1,"0","ACTIVE"
"17",0.308672401450167,"0","P001","0-back",1,"0","ACTIVE"
"18",0.337640744033706,"0","P001","0-back",1,"0","ACTIVE"
"19",0.424678266030242,"1","P001","0-back",0,"0","ACTIVE"
"20",0.368390916493809,"0","P001","0-back",1,"0","ACTIVE"
"21",0.353939091211942,"0","P001","0-back",1,"0","ACTIVE"
"22",0.449820448528044,"1","P001","0-back",1,"1","ACTIVE"
"23",0.30166669051323,"0","P001","1-back",1,"0","ACTIVE"
"24",0.430260130367969,"0","P001","1-back",1,"0","ACTIVE"
"25",0.457978175152675,"0","P001","1-back",1,"0","ACTIVE"
"26",0.362684955434815,"0","P001","1-back",1,"0","ACTIVE"
"27",0.40351682023902,"0","P001","1-back",1,"0","ACTIVE"
"28",0.49239091151685,"1","P001","1-back",1,"1","ACTIVE"
"29",0.268677800744626,"0","P001","1-back",0,"1","ACTIVE"
