Data_Type,rt,response,subj_idx,condition,correct,stimulus
Synth,0.331424319,1,P001,0-back,1,1
Synth,0.484638589,1,P001,0-back,1,1
Synth,0.407319733,1,P001,0-back,1,1
Synth,0.386717718,1,P001,0-back,1,1
Synth,0.381588492,1,P001,0-back,1,1
Synth,0.382690876,1,P001,0-back,1,1
Synth,0.674490411,0,P001,0-back,0,1
Synth,0.302059468,1,P001,0-back,1,1
Synth,0.318816763,1,P001,0-back,1,1
Synth,0.440652393,1,P001,0-back,1,1
Synth,0.380270577,1,P001,0-back,1,1
Synth,0.408136984,1,P001,0-back,1,1
Synth,0.366280381,1,P001,0-back,1,1
Synth,0.471801686,1,P001,0-back,1,1
Synth,0.338959926,0,P001,0-back,0,1
Synth,0.444474015,1,P001,0-back,1,1
Synth,0.437743001,1,P001,0-back,1,1
Synth,0.403891809,1,P001,0-back,1,1
Synth,0.42438727,1,P001,0-back,1,1
Synth,0.427454939,1,P001,0-back,1,1
Synth,0.416392116,0,P001,0-back,0,1
Synth,0.385856857,1,P001,0-back,1,1
Synth,0.411227367,1,P001,0-back,1,1
Synth,0.396516602,1,P001,0-back,1,1
Synth,0.385766561,0,P001,0-back,0,1
Synth,0.370570313,1,P001,0-back,1,1
Synth,0.390399919,1,P001,0-back,1,1
Synth,0.338852983,1,P001,0-back,1,1
Synth,0.387118827,1,P001,0-back,1,1
Synth,0.39264676,1,P001,0-back,1,1
Synth,0.395341273,1,P001,0-back,1,1
Synth,0.383141369,1,P001,0-back,1,1
Synth,0.454729738,1,P001,0-back,1,1
Synth,0.389971838,1,P001,0-back,1,1
Synth,0.352149362,1,P001,0-back,1,1
Synth,0.40843793,1,P001,0-back,1,1
Synth,0.376023203,1,P001,0-back,1,1
Synth,0.351710007,1,P001,0-back,1,1
Synth,0.438283468,0,P001,0-back,0,1
Synth,0.454728104,1,P001,0-back,1,1
Synth,0.37786769,1,P001,0-back,1,1
Synth,0.535081247,1,P001,0-back,1,1
Synth,0.433103879,1,P001,0-back,1,1
Synth,0.400434928,1,P001,0-back,1,1
Synth,0.382805196,1,P001,0-back,1,1
Synth,0.495968018,1,P001,0-back,1,1
Synth,0.337681985,1,P001,0-back,1,1
Synth,0.427072217,1,P001,0-back,1,1
Synth,0.339373799,1,P001,0-back,1,1
Synth,0.372757706,1,P001,0-back,1,1
Synth,0.355004356,1,P001,0-back,1,1
Synth,0.325672943,1,P001,0-back,1,1
Synth,0.34117307,1,P001,0-back,1,1
Synth,0.388440522,1,P001,0-back,1,1
Synth,0.415902829,1,P001,0-back,1,1
Synth,0.416953509,1,P001,0-back,1,1
Synth,0.451331982,1,P001,0-back,1,1
Synth,0.341706786,1,P001,0-back,1,1
Synth,0.409429651,1,P001,0-back,1,1
Synth,0.497176007,1,P001,0-back,1,1
Synth,0.372723532,1,P001,0-back,1,1
Synth,0.384344167,1,P001,0-back,1,1
Synth,0.420664321,1,P001,0-back,1,1
Synth,0.409408264,1,P001,0-back,1,1
Synth,0.465123456,1,P001,0-back,1,1
Synth,0.324866669,1,P001,0-back,1,1
Synth,0.489818283,1,P001,0-back,1,1
Synth,0.355689796,1,P001,0-back,1,1
Synth,0.380908455,1,P001,0-back,1,1
Synth,0.37722948,1,P001,0-back,1,1
Synth,0.329488353,1,P001,0-back,1,1
Synth,0.400688441,1,P001,0-back,1,1
Synth,0.417538515,0,P001,0-back,0,1
Synth,0.558863007,1,P001,0-back,1,1
Synth,0.338695027,1,P001,0-back,1,1
Synth,0.406623222,0,P001,0-back,0,1
Synth,0.373229789,1,P001,0-back,1,1
Synth,0.396961053,1,P001,0-back,1,1
Synth,0.325520429,1,P001,0-back,1,1
Synth,0.331925064,1,P001,0-back,1,1
Synth,0.460934495,0,P001,0-back,0,1
Synth,0.388171423,1,P001,0-back,1,1
