CondFile,Instructions,LettersDisplayed,Correctness,Targets,ISI,Prompt_Looper.thisRepN,Prompt_Looper.thisTrialN,Prompt_Looper.thisN,Prompt_Looper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,InstrKey1.keys,InstrKey1.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,TextInstru.started,TextInstru.stopped,ContinueButton.keys,ContinueButton.rt,key_resp_7.keys,key_resp_7.rt,key_resp_5.keys,key_resp_5.rt,Scanner_control.keys,Scanner_control.rt,Scanner_control.started,Scanner_control.stopped,time_ScannerPromptBegin,time_ScannerPromptEnd,time_vol1,time_InitialRestBegin,time_InitialRestEnd,PreInstrWarning.started,PreInstrWarning.stopped,time_InstructionsBegin,time_InstructionsEnd,time_TransitionBegin,time_TaskStartTimer,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,Fixation.started,Fixation.stopped,time_trialBegin,time_trialEnd,key_resp.rt,time_TaskBlockEnd,FixationPoint.started,FixationPoint.stopped,time_RestBlockBegin,time_RestBlockEnd,PreInstrWarning2.started,PreInstrWarning2.stopped,EndExperimentText.started,EndExperimentText.stopped,participant,Task Version (1 or 2),Pre or post,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,1,6.806552372232545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
,,,,,,,,,,,,,,,,,,,,1,3.9025712671100337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
,,,,,,,,,,,,,,,,,,,,,,2,2.173699632036005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
,,,,,,,,,,,,,,,,,,,,1,1.4395640418842959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
,,,,,,,,,,,,,,,,,,,,,,,,1,14.383167722207872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.868690679428255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.515458299989405,None,1,8.349039254331728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.973980355571257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.061155183881056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,P,1,Three,1.5,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5,1.484480429753603,103.06789708960059,None,92.68972211604705,94.18961092763129,94.18961497084456,94.18964016318569,114.1753010562461,123.5548009602935,None,116.74054159799925,123.19221071495849,123.19460523136149,126.19728401689281,136.70113922251403,137.2010255459645,None,0,136.70113922251403,None,137.30114519403287,None,126.23263882301399,128.2977576017911,,,,,,,,,,,P005,1,NA,2023_May_18_1418,N-Back for Neuroimaging,2021.1.4,120.1096401128385,
