CondFile,Instructions,LettersDisplayed,Correctness,Targets,ISI,Prompt_Looper.thisRepN,Prompt_Looper.thisTrialN,Prompt_Looper.thisN,Prompt_Looper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,InstrKey1.keys,InstrKey1.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,TextInstru.started,TextInstru.stopped,ContinueButton.keys,ContinueButton.rt,key_resp_7.keys,key_resp_7.rt,key_resp_5.keys,key_resp_5.rt,Scanner_control.keys,Scanner_control.rt,Scanner_control.started,Scanner_control.stopped,time_ScannerPromptBegin,time_ScannerPromptEnd,time_vol1,time_InitialRestBegin,time_InitialRestEnd,PreInstrWarning.started,PreInstrWarning.stopped,time_InstructionsBegin,time_InstructionsEnd,time_TransitionBegin,time_TaskStartTimer,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,Fixation.started,Fixation.stopped,time_trialBegin,time_trialEnd,key_resp.rt,time_TaskBlockEnd,FixationPoint.started,FixationPoint.stopped,time_RestBlockBegin,time_RestBlockEnd,PreInstrWarning2.started,PreInstrWarning2.stopped,EndExperimentText.started,EndExperimentText.stopped,participant,Task Version (1 or 2),Pre or post,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,1,4.070112460471137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
,,,,,,,,,,,,,,,,,,,,1,1.0599599472880072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
,,,,,,,,,,,,,,,,,,,,,,2,0.7941154424988781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
,,,,,,,,,,,,,,,,,,,,1,0.7589372937763983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
,,,,,,,,,,,,,,,,,,,,,,,,1,8.751993227302592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,13.154510222026147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.26418336540155,None,1,7.1197584769906825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.136517603692482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9856372558024304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,P,1,Three,1.5,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5,1.4904233339548227,98.21634653215006,None,86.13331382222896,87.64117398794406,87.64117803115732,87.6412047785816,107.63523761508623,118.71201018392458,None,109.7746461175957,116.6446782113926,116.64708112524386,119.64572602614498,131.85918134845997,132.3611692107297,None,0,131.85918134845997,None,132.46109074125343,None,119.68293200276094,121.7493875306609,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,B,1,Three,1.2,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.924989961939,134.43307405956875,None,0,133.924989961939,None,134.52839503331415,None,121.75161845236289,123.84498810828154,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,t,1,Three,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.02333494958293,136.53147814035765,None,0,136.02333494958293,None,136.62281685821654,138.0219642996526,123.84726008416692,125.94796755350762,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,x,2,Three,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.12403091131273,138.63158907995967,2,1,138.12403091131273,None,138.72216207507518,140.1216451033688,125.95018199133119,128.04780946379833,1.0010126698798558,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,T,1,Three,1.8,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.22250497082132,140.72473200481545,None,0,140.22250497082132,None,140.82193462867508,None,128.05069911854662,130.13999134751793,,,,,,,,,,,P022,1,NA,2023_Jul_19_1357,N-Back for Neuroimaging,2021.1.4,119.96489029148695,
