CondFile,Instructions,LettersDisplayed,Correctness,Targets,ISI,Prompt_Looper.thisRepN,Prompt_Looper.thisTrialN,Prompt_Looper.thisN,Prompt_Looper.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,InstrKey1.keys,InstrKey1.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,TextInstru.started,TextInstru.stopped,ContinueButton.keys,ContinueButton.rt,key_resp_7.keys,key_resp_7.rt,key_resp_5.keys,key_resp_5.rt,Scanner_control.keys,Scanner_control.rt,Scanner_control.started,Scanner_control.stopped,time_ScannerPromptBegin,time_ScannerPromptEnd,time_vol1,time_InitialRestBegin,time_InitialRestEnd,PreInstrWarning.started,PreInstrWarning.stopped,time_InstructionsBegin,time_InstructionsEnd,time_TransitionBegin,time_TaskStartTimer,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,Fixation.started,Fixation.stopped,time_trialBegin,time_trialEnd,key_resp.rt,time_TaskBlockEnd,FixationPoint.started,FixationPoint.stopped,time_RestBlockBegin,time_RestBlockEnd,PreInstrWarning2.started,PreInstrWarning2.stopped,EndExperimentText.started,EndExperimentText.stopped,participant,Task Version (1 or 2),Pre or post,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,1,15.256593143765258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
,,,,,,,,,,,,,,,,,,,,1,2.485002646774774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
,,,,,,,,,,,,,,,,,,,,,,2,1.251345625232716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
,,,,,,,,,,,,,,,,,,,,1,1.098157085922594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
,,,,,,,,,,,,,,,,,,,,,,,,1,11.90798492426984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.810285036796813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.005059040803644,None,1,12.16229798515451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.99114216881253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.048748240408258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
Conditions/Version_1/zeroback(1)_v1.xlsx,Rule: Press 'right' when you see the letter 'x' or 'X'.,P,1,Three,1.5,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5,1.4829639149124887,136.99747981017845,None,122.40272434292501,123.9036374957468,123.90364153899827,123.9036679756432,143.89791162944903,157.4872553599521,None,146.54892023411048,152.90796906228252,152.9105399482587,155.91023981458238,170.64628390966254,171.15430572082778,None,0,170.64628390966254,None,171.24684050989754,None,155.96272619660022,158.00602942118667,,,,,,,,,,,P038,1,NA,2023_Aug_30_1415,N-Back for Neuroimaging,2021.1.4,120.00276191550465,
