Participant.ID,PRE.POST,Trial_type,LR_recipmodel,inv_recipmodel,Excl10_LR,Excl10_Inv,Optimal.choice,Response.time,Optimal.choice.perc,response.time.corr
P001,NA,Win,0.243455268,1.510602451,0.294103728,1.516722598,33,894.9666667,55,821
P002,NA,Win,0.022286189,3.380453298,0.025314568,3.321196238,42,936.0769231,80.76923077,881.9047619
P003,NA,Win,0.200525645,-0.515332855,0.186672636,-0.587600222,25,711.122449,51.02040816,752.12
P004,NA,Win,0.351786736,0.182982336,0.458661136,-0.345189326,23,1210.924528,43.39622642,1318.347826
P005,NA,Win,0.039206017,3.783843112,0.082921066,4.482399865,62,735.2741935,100,735.2741935
P006,NA,Win,0.039280893,2.462860245,0.049096638,2.591557338,38,819.2241379,65.51724138,852.7368421
P007,NA,Win,0.060956841,2.383174221,0.046271117,2.361153451,50,987.2295082,81.96721311,959.58
P008,NA,Win,0.073069272,4.625422876,0.074646984,4.512523303,60,651.4,100,651.4
P009,NA,Win,0.481519477,1.062314989,0.504416142,1.100250088,55,815.4333333,91.66666667,775.4909091
P010,NA,Win,0.193633673,-0.99965204,0.184734703,-0.927103059,35,1081.783333,58.33333333,1037.114286
P011,NA,Win,0.02326882,3.970439628,0.026703721,3.79982144,55,486.1833333,91.66666667,482.7454545
P012,NA,Win,0.040099787,3.931567045,0.046364251,3.817239949,60,699.8032787,98.36065574,691.45
P013,NA,Win,0.042117265,2.892681445,0.031493044,3.425538717,49,794.5932203,83.05084746,775.7346939
P014,NA,Win,0.063704141,3.335880785,0.106857702,3.64474909,59,617.2881356,100,617.2881356
P015,NA,Win,0.029838157,4.187910768,0.077163144,4.499547339,62,754.3709677,100,754.3709677
P016,NA,Win,0.034380767,4.48834768,0.0511361,4.627922283,41,766.5806452,66.12903226,722.2439024
P017,NA,Win,0.195783906,-1.084297201,0.227587336,-1.088215813,31,731.8333333,51.66666667,693.4516129
P018,NA,Win,0.027663075,3.288281493,0.034514505,3.196357613,43,909.9180328,70.49180328,867.8372093
P019,NA,Win,0.034534163,4.107982169,0.036889946,3.90554041,41,830.6393443,67.21311475,929.3658537
P020,NA,Win,0.070901911,2.520385257,0.119933395,2.621328493,42,774.0517241,72.4137931,765.1190476
P021,NA,Win,0.4908085,-1.062914191,0.605857922,-0.788707512,20,1063.432432,54.05405405,1069.75
P022,NA,Win,0.251750889,-0.575982895,0.167650979,-0.503286306,35,472.5423729,59.3220339,481.4285714
P023,NA,Win,0.020234408,3.940594172,0.021080174,4.161738326,59,564.8064516,95.16129032,553.0169492
P024,NA,Win,0.035924953,4.577435973,0.081008932,4.542439573,11,941.62,22,1334.818182
P025,NA,Win,0.214461773,2.192589035,0.253152287,2.458538911,57,687.9032258,91.93548387,712.6666667
P026,NA,Win,0.032636282,3.824697053,0.027696617,3.918108605,58,899.2758621,100,899.2758621
P027,NA,Win,0.471490473,0.411111185,0.35386386,-0.071858732,31,934.1020408,63.26530612,804.3225806
P028,NA,Win,0.241600263,-0.411723786,0.411725769,-0.682940651,25,1133.658537,60.97560976,1026.28
P029,NA,Win,0.233039757,-0.72218993,0.255570576,-0.659772694,33,459.5806452,53.22580645,439.5757576
P030,NA,Win,0.202390195,-0.130626759,0.107971785,0.693381929,35,921.3454545,63.63636364,938.7428571
