Scenario - learning_JJ_english												
Logfile written - 05/17/2023 15:20:58												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
P004	0	Pulse	255	0	0	NA						
P004	1	Picture	instruct_trial	10500	0	1	109657	1	0	next	other	0
P004	1	Pulse	255	30000	19500	NA						
P004	1	Pulse	255	60000	49500	NA						
P004	1	Pulse	255	90000	79500	NA						
P004	1	Pulse	255	120000	109500	NA						
P004	1	Response	100	120108	109608	1						
P004	1	Pulse	255	150000	139500	NA						
P004	2	Pulse	255	180000	29846	NA						
P004	2	Pulse	255	210000	59846	NA						
P004	2	Response	101	215238	65084	1						
P004	4	Pulse	255	240000	14352	NA						
P004	6	Pulse	255	270000	14022	NA						
P004	6	Response	101	278558	22580	1						
P004	8	Pulse	255	300000	11025	NA						
P004	10	Pulse	255	330000	10694	NA						
P004	10	Pulse	255	360000	40694	NA						
P004	10	Response	101	360667	41361	1						
P004	12	Pulse	255	390000	18865	NA						
P004	14	Pulse	255	420000	18534	NA						
P004	14	Response	100	420538	19072	1						
P004	16	Pulse	255	450000	19037	NA						
P004	18	Pulse	255	480000	18706	NA						
P004	18	Response	101	481447	20154	1						
P004	20	Pulse	255	510000	18042	NA						
P004	22	Pulse	255	540000	17712	NA						
P004	22	Response	100	543797	21508	1						
P004	24	Pulse	255	570000	15714	NA						
P004	26	Pulse	255	600000	15384	NA						
P004	26	Response	101	603837	19221	1						
P004	28	Pulse	255	630000	15720	NA						
P004	30	Response	100	657297	12686	1						
P004	31	Pulse	255	660000	2557	NA						
P004	33	Pulse	255	690000	2059	NA						
P004	34	Response	101	711908	13801	1						
P004	35	Pulse	255	720000	7895	NA						
P004	37	Pulse	255	750000	7397	NA						
P004	38	Response	101	765417	12649	1						
P004	40	Pulse	255	780000	4067	NA						
P004	42	Pulse	255	810000	3736	NA						
P004	42	Response	100	820557	14293	1						
P004	43	Response	100	821687	925	1						
P004	44	Pulse	255	840000	8905	NA						
P004	46	Pulse	255	870000	8574	NA						
P004	46	Response	100	879938	18512	1						
P004	48	Pulse	255	900000	9577	NA						
P004	50	Pulse	255	930000	9246	NA						
P004	50	Response	100	934817	14063	1						
P004	52	Pulse	255	960000	14748	NA						
P004	54	Pulse	255	990000	14418	NA						
P004	54	Response	101	999347	23765	1						
P004	56	Pulse	255	1020000	10254	NA						
P004	58	Pulse	255	1050000	9923	NA						
P004	58	Response	101	1053867	13790	1						
P004	60	Pulse	255	1080000	15592	NA						
P004	62	Pulse	255	1110000	15261	NA						
P004	62	Response	101	1110807	16069	1						
P004	64	Pulse	255	1140000	18764	NA						
P004	66	Response	101	1162474	10907	1						
P004	67	Pulse	255	1170000	7434	NA						
P004	69	Pulse	255	1200000	6937	NA						
P004	70	Response	100	1224316	21087	1						
P004	71	Pulse	255	1230000	5606	NA						
P004	73	Pulse	255	1260000	5109	NA						
P004	74	Response	100	1285817	20760	1						
P004	75	Pulse	255	1290000	4111	NA						
P004	77	Pulse	255	1320000	3614	NA						
P004	78	Pulse	255	1350000	23448	NA						
P004	78	Response	100	1352616	26064	1						
P004	80	Pulse	255	1380000	16951	NA						
P004	82	Response	100	1406737	13357	1						
P004	83	Pulse	255	1410000	3122	NA						
P004	85	Pulse	255	1440000	2625	NA						
P004	86	Response	101	1457916	10375	1						
P004	88	Pulse	255	1470000	1627	NA						
P004	90	Pulse	255	1500000	1297	NA						
P004	90	Response	101	1509555	10852	1						
P004	92	Pulse	255	1530000	9965	NA						
P004	94	Pulse	255	1560000	9634	NA						
P004	94	Response	100	1572617	22251	1						
P004	96	Pulse	255	1590000	6971	NA						
P004	98	Pulse	255	1620000	6640	NA						
P004	98	Response	101	1622838	9477	1						
P004	100	Pulse	255	1650000	16642	NA						
P004	102	Response	100	1677146	13457	1						
P004	103	Pulse	255	1680000	2645	NA						
P004	105	Pulse	255	1710000	2148	NA						
P004	106	Response	100	1735346	17328	1						
P004	107	Pulse	255	1740000	4484	NA						
P004	109	Pulse	255	1770000	3987	NA						
P004	110	Response	101	1785143	8964	1						
P004	112	Pulse	255	1800000	4322	NA						
P004	114	Pulse	255	1830000	3992	NA						
P004	114	Response	101	1834886	8877	1						
P004	116	Pulse	255	1860000	14660	NA						
P004	118	Response	101	1887566	11895	1						
P004	119	Pulse	255	1890000	2330	NA						
P004	121	Pulse	255	1920000	1833	NA						
P004	122	Pulse	255	1950000	21667	NA						
P004	122	Response	101	1956856	28523	1						
P004	124	Pulse	255	1980000	12671	NA						
P004	126	Pulse	255	2010000	12340	NA						
P004	126	Response	100	2010366	12706	1						
P004	128	Pulse	255	2040000	19175	NA						
P004	130	Response	101	2058766	7610	1						
P004	132	Pulse	255	2070000	846	NA						
P004	134	Pulse	255	2100000	516	NA						
P004	134	Response	100	2108246	8761	1						
P004	136	Pulse	255	2130000	11351	NA						
P004	138	Pulse	255	2160000	11020	NA						
P004	138	Response	101	2160306	11326	1						
P004	140	Pulse	255	2190000	19188	NA						
P004	142	Response	101	2217086	15943	1						
P004	143	Pulse	255	2220000	2859	NA						
P004	145	Pulse	255	2250000	2362	NA						
P004	146	Pulse	255	2280000	22196	NA						
P004	146	Response	100	2281136	23331	1						
P004	148	Pulse	255	2310000	18366	NA						
P004	150	Pulse	255	2340000	18035	NA						
P004	150	Response	100	2345995	24030	1						
P004	152	Pulse	255	2370000	13538	NA						
P004	154	Response	101	2399745	12952	1						
P004	155	Pulse	255	2400000	208	NA						
P004	156	Pulse	255	2430000	19876	NA						
P004	158	Response	100	2453495	13040	1						
P004	159	Pulse	255	2460000	6380	NA						
P004	161	Pulse	255	2490000	5882	NA						
P004	162	Response	101	2503595	9312	1						
P004	164	Pulse	255	2520000	5885	NA						
P004	166	Pulse	255	2550000	5554	NA						
P004	166	Response	101	2558925	14479	1						
P004	168	Pulse	255	2580000	10556	NA						
P004	170	Pulse	255	2610000	10226	NA						
P004	170	Response	100	2611136	11362	1						
P004	172	Pulse	255	2640000	18394	NA						
P004	174	Response	101	2667375	15439	1						
P004	175	Pulse	255	2670000	2565	NA						
P004	177	Pulse	255	2700000	2068	NA						
P004	178	Response	101	2721005	12907	1						
P004	179	Pulse	255	2730000	8903	NA						
P004	181	Pulse	255	2760000	8406	NA						
P004	182	Response	100	2772074	10314	1						
P004	184	Pulse	255	2790000	7408	NA						
P004	186	Pulse	255	2820000	7078	NA						
P004	186	Response	100	2827554	14632	1						
P004	188	Pulse	255	2850000	11913	NA						
P004	190	Response	101	2878834	10416	1						
P004	191	Pulse	255	2880000	1083	NA						
P004	193	Pulse	255	2910000	586	NA						
P004	194	Response	101	2928604	9025	1						
P004	196	Pulse	255	2940000	922	NA						
P004	198	Pulse	255	2970000	591	NA						
P004	198	Response	101	2985683	16274	1						
P004	200	Pulse	255	3000000	3927	NA						
P004	202	Pulse	255	3030000	3596	NA						
P004	202	Response	101	3036734	10330	1						
P004	204	Pulse	255	3060000	12765	NA						
P004	206	Response	101	3086844	9278	1						
P004	207	Pulse	255	3090000	3101	NA						
P004	209	Pulse	255	3120000	2604	NA						
P004	210	Response	100	3149925	22363	1						
P004	210	Pulse	255	3150000	22438	NA						
P004	212	Pulse	255	3180000	19608	NA						
P004	214	Response	101	3197815	7092	1						
P004	216	Pulse	255	3210000	1779	NA						
P004	218	Pulse	255	3240000	1448	NA						
P004	218	Response	100	3254995	16443	1						
P004	220	Pulse	255	3270000	4617	NA						
P004	222	Pulse	255	3300000	4286	NA						
P004	222	Response	100	3313204	17491	1						
P004	224	Pulse	255	3330000	6289	NA						
P004	226	Pulse	255	3360000	5958	NA						
P004	226	Response	101	3362524	8482	1						
P004	228	Pulse	255	3390000	16960	NA						
P004	230	Response	101	3417234	13863	1						
P004	231	Pulse	255	3420000	2630	NA						
P004	233	Pulse	255	3450000	2133	NA						
P004	234	Response	101	3468675	10642	1						
P004	236	Pulse	255	3480000	802	NA						
P004	238	Pulse	255	3510000	472	NA						
P004	238	Response	101	3539304	29775	1						
P004	239	Pulse	255	3540000	641	NA						
P004	241	Pulse	255	3570000	144	NA						
P004	242	Picture	instruct_trial	3580022	0	1	27498	1	0	next	other	0
P004	242	Pulse	255	3600000	19978	NA						
P004	242	Response	101	3607464	27442	1						
P004	243	Pulse	255	3630000	22314	NA						
P004	243	Response	101	3636034	28347	1						
P004	245	Pulse	255	3660000	13484	NA						
P004	247	Pulse	255	3690000	13153	NA						
P004	247	Response	101	3693474	16627	1						
P004	249	Pulse	255	3720000	15989	NA						
P004	251	Pulse	255	3750000	15658	NA						
P004	251	Response	100	3757093	22751	1						
P004	253	Pulse	255	3780000	12494	NA						
P004	255	Pulse	255	3810000	12163	NA						
P004	255	Response	101	3820274	22437	1						
P004	257	Pulse	255	3840000	9333	NA						
P004	259	Pulse	255	3870000	9002	NA						
P004	259	Response	100	3877654	16656	1						
P004	261	Pulse	255	3900000	11838	NA						
P004	263	Pulse	255	3930000	11507	NA						
P004	263	Response	100	3940594	22101	1						
P004	265	Pulse	255	3960000	9010	NA						
P004	267	Pulse	255	3990000	8679	NA						
P004	267	Response	101	4002663	21343	1						
P004	269	Pulse	255	4020000	6849	NA						
P004	271	Pulse	255	4050000	6518	NA						
P004	271	Response	101	4078023	34541	1						
P004	272	Pulse	255	4080000	1854	NA						
P004	274	Pulse	255	4110000	1357	NA						
P004	275	Pulse	255	4140000	21191	NA						
P004	275	Response	101	4141973	23164	1						
P004	277	Pulse	255	4170000	17528	NA						
P004	279	Response	100	4199853	17050	1						
P004	280	Pulse	255	4200000	32	NA						
P004	281	Pulse	255	4230000	19699	NA						
P004	283	Pulse	255	4260000	19369	NA						
P004	283	Response	100	4275093	34462	1						
P004	285	Pulse	255	4290000	4372	NA						
P004	287	Pulse	255	4320000	4042	NA						
P004	287	Response	100	4339333	23375	1						
P004	289	Pulse	255	4350000	211	NA						
P004	290	Pulse	255	4380000	10046	NA						
P004	291	Response	100	4402012	21893	1						
P004	292	Pulse	255	4410000	7883	NA						
P004	294	Pulse	255	4440000	7385	NA						
P004	295	Response	101	4460223	17443	1						
P004	296	Pulse	255	4470000	9721	NA						
P004	298	Pulse	255	4500000	9224	NA						
P004	299	Response	101	4529883	28940	1						
P004	300	Pulse	255	4530000	60	NA						
P004	301	Pulse	255	4560000	19728	NA						
P004	303	Response	101	4585162	14559	1						
P004	304	Pulse	255	4590000	4732	NA						
P004	306	Pulse	255	4620000	4235	NA						
P004	307	Response	100	4641672	15740	1						
P004	308	Pulse	255	4650000	8237	NA						
P004	310	Pulse	255	4680000	7739	NA						
P004	311	Response	101	4698413	15986	1						
P004	313	Pulse	255	4710000	1076	NA						
P004	315	Pulse	255	4740000	745	NA						
P004	315	Response	100	4764662	25407	1						
P004	316	Pulse	255	4770000	5247	NA						
P004	318	Pulse	255	4800000	4750	NA						
P004	319	Pulse	255	4830000	24584	NA						
P004	319	Response	100	4832612	27196	1						
P004	321	Pulse	255	4860000	16921	NA						
P004	323	Response	101	4888474	15065	1						
P004	324	Pulse	255	4890000	1425	NA						
P004	326	Pulse	255	4920000	928	NA						
P004	327	Response	101	4946412	17174	1						
P004	328	Pulse	255	4950000	3430	NA						
P004	330	Pulse	255	4980000	2933	NA						
P004	331	Response	100	5002922	15689	1						
P004	332	Pulse	255	5010000	6935	NA						
P004	334	Pulse	255	5040000	6438	NA						
P004	335	Response	101	5055050	11322	1						
P004	337	Pulse	255	5070000	4440	NA						
P004	339	Pulse	255	5100000	4110	NA						
P004	339	Response	100	5115052	19161	1						
P004	341	Pulse	255	5130000	4446	NA						
P004	343	Pulse	255	5160000	4115	NA						
P004	343	Response	101	5165889	10003	1						
P004	345	Pulse	255	5190000	13617	NA						
P004	347	Pulse	255	5220000	13286	NA						
P004	347	Response	101	5228442	21728	1						
P004	349	Pulse	255	5250000	11122	NA						
P004	351	Pulse	255	5280000	10791	NA						
P004	351	Response	100	5295272	26064	1						
P004	353	Pulse	255	5310000	4295	NA						
P004	355	Pulse	255	5340000	3964	NA						
P004	355	Response	100	5351801	15765	1						
P004	357	Pulse	255	5370000	7799	NA						
P004	359	Pulse	255	5400000	7469	NA						
P004	359	Response	101	5414622	22091	1						
P004	361	Pulse	255	5430000	4972	NA						
P004	363	Pulse	255	5460000	4641	NA						
P004	363	Response	101	5472012	16653	1						
P004	365	Pulse	255	5490000	7477	NA						
P004	367	Pulse	255	5520000	7146	NA						
P004	367	Response	101	5535411	22557	1						
P004	369	Pulse	255	5550000	4149	NA						
P004	371	Pulse	255	5580000	3818	NA						
P004	371	Response	101	5602430	26248	1						
P004	372	Pulse	255	5610000	7487	NA						
P004	374	Pulse	255	5640000	6990	NA						
P004	375	Pulse	255	5670000	26824	NA						
P004	375	Response	100	5682951	39775	1						
P004	377	Pulse	255	5700000	6662	NA						
P004	379	Pulse	255	5730000	6331	NA						
P004	379	Response	100	5739971	16302	1						
P004	381	Pulse	255	5760000	9500	NA						
P004	383	Pulse	255	5790000	9169	NA						
P004	383	Response	101	5791761	10930	1						
P004	385	Pulse	255	5820000	17838	NA						
P004	387	Response	101	5842241	9748	1						
P004	388	Pulse	255	5850000	7675	NA						
P004	390	Pulse	255	5880000	7177	NA						
P004	391	Response	101	5905840	22852	1						
P004	392	Pulse	255	5910000	4013	NA						
P004	394	Pulse	255	5940000	3516	NA						
P004	395	Response	100	5958021	11371	1						
P004	397	Pulse	255	5970000	1519	NA						
P004	399	Pulse	255	6000000	1188	NA						
P004	399	Response	101	6012290	13478	1						
P004	401	Pulse	255	6030000	7190	NA						
P004	403	Pulse	255	6060000	6860	NA						
P004	403	Response	100	6070790	17650	1						
P004	405	Pulse	255	6090000	8695	NA						
P004	407	Pulse	255	6120000	8365	NA						
P004	407	Response	101	6126071	14435	1						
P004	409	Pulse	255	6150000	13534	NA						
P004	411	Pulse	255	6180000	13203	NA						
P004	411	Response	100	6196791	29993	1						
P004	413	Pulse	255	6210000	2706	NA						
P004	415	Pulse	255	6240000	2376	NA						
P004	415	Response	100	6249901	12277	1						
P004	417	Pulse	255	6270000	9711	NA						
P004	419	Pulse	255	6300000	9380	NA						
P004	419	Response	101	6301080	10460	1						
P004	421	Pulse	255	6330000	18382	NA						
P004	423	Pulse	255	6360000	18051	NA						
P004	423	Response	100	6376160	34212	1						
P004	425	Pulse	255	6390000	3389	NA						
P004	427	Pulse	255	6420000	3058	NA						
P004	427	Response	101	6429840	12898	1						
P004	429	Pulse	255	6450000	9727	NA						
P004	431	Pulse	255	6480000	9229	NA						
P004	431	Response	100	6482651	11880	1						
P004	433	Pulse	255	6510000	16898	NA						
