Participant P054visit number -1
Stimuli number 1
Scanner Trigger at time 6000
run_number	trial_number	trial_type	outcome_type	side_type	left_stim	right_stim	stim_onset	choice_onset	interval_onset	outcome_onset	ITI_onset	button_pressed	side_chosen	trial_outcome	total	reaction_time	win_out	loss_out
1	1	2	1	0	C	H	3	16	3141	4168	6182	7	1	0	1	3123		0
1	2	1	1	1	D	A	7201	7215	10143	11167	13181	7	1	1	1.2	2927	1	
1	3	1	1	0	A	D	14199	14214	18849	19879	21897	7	1	0	1.2	4634	0	
1	4	2	0	1	H	C	22915	22930	25051	26080	28097	7	1	0	1.2	2120		1
1	5	2	1	1	H	C	29115	29130	31963	32996	35013	7	1	-1	1	2832		1
1	6	1	1	0	A	D	36031	36046	37286	38312	40329	8	0	1	1.2	1239	1	
1	7	1	1	1	D	A	41347	41362	43709	44746	46762	7	1	1	1.4	2346	1	
1	8	2	1	0	C	H	47780	47795	49399	50428	52445	7	1	0	1.4	1603		0
1	9	1	0	1	D	A	53462	53478	54922	55944	57961	7	1	0	1.4	1443	1	
1	10	2	1	1	H	C	58979	58994	61565	62593	64610	7	1	-1	1.2	2570		1
1	11	1	1	0	A	D	65628	65643	67017	68042	70060	8	0	1	1.4	1373	1	
1	12	2	0	0	C	H	71077	71093	72312	73344	75359	7	1	-1	1.2	1218		0
1	13	2	1	1	H	C	76377	76392	78081	79107	81125	8	0	0	1.2	1688		0
1	14	1	0	0	A	D	82143	82158	83303	84325	86342	8	0	0	1.2	1144	1	
1	15	1	1	1	D	A	87359	87375	88429	89458	91475	7	1	1	1.4	1053	1	
1	16	2	1	0	C	H	92492	92508	94307	95340	97357	7	1	0	1.4	1798		0
1	17	1	0	1	D	A	98375	98390	101006	102041	104057	7	1	0	1.4	2615	1	
1	18	2	1	1	H	C	105074	105090	106494	107524	109540	8	0	0	1.4	1404		0
1	19	1	1	0	A	D	110557	110573	112358	113389	115406	8	0	1	1.6	1784	1	
1	20	2	1	1	H	C	116424	116439	119124	120156	122172	7	1	-1	1.4	2685		1
1	21	1	1	0	A	D	123190	123205	124857	125888	127905	8	0	1	1.6	1651	1	
1	22	2	1	0	C	H	128923	128938	129856	130887	132904	7	1	0	1.6	918		0
1	23	1	0	1	D	A	133922	133937	136876	137908	139920	8	0	1	1.8	2938	0	
1	24	1	1	1	D	A	140939	140953	143009	144035	146055	8	0	0	1.8	2055	0	
1	25	2	0	0	C	H	147071	147086	148607	149635	151653	7	1	-1	1.6	1521		0
1	26	2	1	1	H	C	152671	152686	154684	155718	157735	8	0	0	1.6	1998		0
1	27	1	1	0	A	D	158753	158768	159989	161018	163035	8	0	1	1.8	1220	1	
1	28	2	1	0	C	H	164053	164068	166773	167800	169818	7	1	0	1.8	2705		0
1	29	1	1	1	D	A	170835	170851	173134	174167	176183	8	0	0	1.8	2283	0	
1	30	2	0	1	H	C	177202	177217	181182	182216	184233	8	0	-1	1.6	3965		0
1	31	1	1	0	A	D	185251	185266	186224	187250	189266	8	0	1	1.8	958	1	
1	32	1	0	0	A	D	190285	190299	191077	192099	194115	8	0	0	1.8	778	1	
1	33	2	1	1	H	C	195133	195148	197859	198881	200898	7	1	-1	1.6	2711		1
1	34	2	0	0	C	H	201916	201931	203072	204097	206114	7	1	-1	1.4	1140		0
1	35	1	1	1	D	A	207132	207147	209426	210448	212464	8	0	0	1.4	2278	0	
1	36	2	1	1	H	C	213481	213497	214732	215763	217780	8	0	0	1.4	1235		0
1	37	1	0	0	A	D	218798	218813	219359	220396	222413	8	0	0	1.4	546	1	
1	38	2	1	0	C	H	223431	223446	224798	225828	227846	7	1	0	1.4	1352		0
1	39	1	1	1	D	A	228863	228879	230055	231078	233095	7	1	1	1.6	1176	1	
1	40	2	1	0	C	H	234113	234128	235083	236112	238128	7	1	0	1.6	954		0
1	41	2	0	1	H	C	239146	239161	240815	241843	243861	8	0	-1	1.4	1653		0
1	42	1	1	0	A	D	244879	244894	245599	246626	248644	8	0	1	1.6	704	1	
1	43	2	1	0	C	H	249662	249677	250690	251726	253744	7	1	0	1.6	1013		0
1	44	1	0	1	D	A	254761	254777	256041	257076	259093	7	1	0	1.6	1264	1	
1	45	1	1	1	D	A	260112	260126	260790	261825	263843	7	1	1	1.8	663	1	
1	46	2	1	0	C	H	264860	264876	266258	267291	269309	7	1	0	1.8	1382		0
1	47	1	1	0	A	D	270327	270342	271114	272141	274158	8	0	1	2	772	1	
1	48	1	1	1	D	A	275176	275191	275771	276807	278825	7	1	1	2.2	579	1	
1	49	2	0	1	H	C	279842	279858	281040	282073	284091	8	0	-1	2	1182		0
1	50	2	1	0	C	H	285108	285124	286246	287273	289290	7	1	0	2	1122		0
1	51	1	1	0	A	D	290308	290323	290866	291889	293907	8	0	1	2.2	542	1	
1	52	1	0	1	D	A	294925	294940	295718	296739	298756	7	1	0	2.2	778	1	
1	53	2	1	1	H	C	299774	299789	300864	301889	303906	8	0	0	2.2	1074		0
1	54	2	1	1	H	C	304925	304939	306734	307755	309772	8	0	0	2.2	1795		0
1	55	1	1	0	A	D	310790	310805	311546	312571	314588	8	0	1	2.4	741	1	
1	56	2	1	0	C	H	315606	315621	316715	317737	319754	7	1	0	2.4	1093		0
1	57	2	0	1	H	C	320772	320787	322067	323103	325121	8	0	-1	2.2	1279		0
1	58	1	0	0	A	D	326138	326154	327066	328086	330103	8	0	0	2.2	912	1	
1	59	1	1	1	D	A	331121	331137	332054	333086	335103	7	1	1	2.4	917	1	
1	60	2	0	0	C	H	336121	336136	336737	337768	339786	7	1	-1	2.2	600		0
2	1	1	1	0	K	X	342737	342752	345607	346639	348652	7	1	0	1	2854	0	
2	2	2	1	1	P	N	349671	349685	352063	353083	355101	7	1	-1	0.8	2377		1
