Participant p003visit number -1
Stimuli number 1
Scanner Trigger at time 9000
run_number	trial_number	trial_type	outcome_type	side_type	left_stim	right_stim	stim_onset	choice_onset	interval_onset	outcome_onset	ITI_onset	button_pressed	side_chosen	trial_outcome	total	reaction_time	win_out	loss_out
1	1	1	1	0	D	A	12	32	2151	3182	5199	7	1	0	1	2116	0	
1	2	2	1	1	C	H	6221	6232	7391	8416	10431	8	0	0	1	1159		0
1	3	2	1	0	H	C	11453	11464	12196	13233	15248	8	0	-1	0.8	730		1
1	4	1	0	1	A	D	16269	16281	16777	17813	19831	7	1	0	0.8	495	1	
1	5	1	1	1	A	D	20854	20864	21367	22395	24414	7	1	1	1	503	1	
1	6	2	1	0	H	C	25437	25447	25840	26862	28880	7	1	0	1	393		0
1	7	2	1	1	C	H	29902	29913	30222	31245	33263	7	1	-1	0.8	309		1
1	8	1	1	0	D	A	34284	34296	34583	35613	37629	8	0	1	1	287	1	
1	9	2	0	1	C	H	38651	38662	39043	40080	42095	8	0	-1	0.8	380		0
1	10	1	1	1	A	D	43117	43128	43450	44478	46495	8	0	0	0.8	321	0	
1	11	2	1	0	H	C	47516	47528	47739	48760	50778	8	0	-1	0.6	210		1
1	12	1	0	0	D	A	51799	51811	52180	53210	55227	7	1	1	0.8	369	0	
1	13	1	1	1	A	D	56249	56261	56606	57643	59660	7	1	1	1	345	1	
1	14	2	0	0	H	C	60682	60693	61046	62077	64093	7	1	-1	0.8	352		0
1	15	2	1	1	C	H	65116	65126	65463	66493	68510	7	1	-1	0.6	336		1
1	16	1	1	0	D	A	69531	69543	69916	70941	72959	7	1	0	0.6	373	0	
1	17	2	0	1	C	H	73981	73992	74264	75292	77309	8	0	-1	0.4	271		0
1	18	1	1	1	A	D	78331	78342	78676	79708	81725	7	1	1	0.6	334	1	
1	19	2	1	0	H	C	82747	82758	83067	84091	86108	7	1	0	0.6	308		0
1	20	1	1	1	A	D	87130	87141	87451	88473	90491	7	1	1	0.8	309	1	
1	21	2	1	0	H	C	91513	91524	91879	92907	94924	7	1	0	0.8	354		0
1	22	1	1	0	D	A	95946	95957	96310	97340	99357	7	1	0	0.8	353	0	
1	23	2	0	1	C	H	100379	100390	100704	101740	103757	7	1	0	0.8	314		1
1	24	2	1	1	C	H	104780	104790	105150	106172	108190	7	1	-1	0.6	360		1
1	25	1	0	0	D	A	109211	109223	109840	110871	112889	8	0	0	0.6	617	1	
1	26	1	1	1	A	D	113911	113922	114295	115321	117339	7	1	1	0.8	372	1	
1	27	2	1	0	H	C	118360	118372	119106	120138	122155	7	1	0	0.8	734		0
1	28	1	1	0	D	A	123177	123188	123940	124971	126988	7	1	0	0.8	752	0	
1	29	2	1	1	C	H	128010	128021	128361	129386	131404	7	1	-1	0.6	340		1
1	30	1	0	1	A	D	132427	132437	132933	133970	135987	7	1	0	0.6	495	1	
1	31	2	1	0	H	C	137010	137020	137473	138504	140520	7	1	0	0.6	452		0
1	32	2	0	0	H	C	141543	141553	141992	143018	145036	7	1	-1	0.4	438		0
1	33	1	1	1	A	D	146058	146069	146693	147718	149736	8	0	0	0.4	623	0	
1	34	1	0	0	D	A	150758	150769	151084	152118	154136	7	1	1	0.6	314	0	
1	35	2	1	1	C	H	155158	155169	155654	156684	158702	7	1	-1	0.4	485		1
1	36	1	1	1	A	D	159724	159735	160152	161184	163201	8	0	0	0.4	417	0	
1	37	2	0	0	H	C	164224	164234	164558	165583	167601	7	1	-1	0.2	323		0
1	38	1	1	0	D	A	168623	168634	169054	170083	172101	7	1	0	0.2	419	0	
1	39	2	1	1	C	H	173123	173134	173464	174500	176517	8	0	0	0.2	330		0
1	40	1	1	0	D	A	177539	177550	178435	179467	181483	7	1	0	0.2	885	0	
1	41	1	0	1	A	D	182505	182516	183264	184299	186316	7	1	0	0.2	747	1	
1	42	2	1	0	H	C	187338	187349	187766	188798	190816	7	1	0	0.2	416		0
1	43	1	1	0	D	A	191838	191849	192411	193431	195449	7	1	0	0.2	562	0	
1	44	2	0	1	C	H	196471	196482	197548	198581	200598	7	1	0	0.2	1066		1
1	45	2	1	1	C	H	201622	201631	203007	204031	206048	8	0	0	0.2	1375		0
1	46	1	1	0	D	A	207070	207081	207437	208463	210481	8	0	1	0.4	356	1	
1	47	2	1	0	H	C	211503	211514	212813	213846	215864	7	1	0	0.4	1299		0
1	48	2	1	1	C	H	216885	216897	217647	218681	220696	8	0	0	0.4	750		0
1	49	1	0	1	A	D	221719	221729	222434	223462	225479	8	0	1	0.6	704	0	
1	50	1	1	0	D	A	226501	226512	227172	228196	230212	8	0	1	0.8	659	1	
1	51	2	1	0	H	C	231234	231245	231884	232911	234929	7	1	0	0.8	638		0
1	52	2	0	1	C	H	235951	235962	236602	237627	239645	8	0	-1	0.6	640		0
1	53	1	1	1	A	D	240667	240678	241717	242743	244761	8	0	0	0.6	1039	0	
1	54	1	1	1	A	D	245785	245794	245932	246960	248977	8	0	0	0.6	137	0	
1	55	2	1	0	H	C	250000	250010	250870	251894	253910	7	1	0	0.6	859		0
1	56	1	1	0	D	A	254932	254943	255271	256293	258310	7	1	0	0.6	327	0	
1	57	1	0	1	A	D	259332	259343	261500	262525	264543	8	0	1	0.8	2157	0	
1	58	2	0	0	H	C	265565	265576	266726	267758	269775	7	1	-1	0.6	1150		0
1	59	2	1	1	C	H	270798	270809	272368	273391	275408	7	1	-1	0.4	1559		1
1	60	1	0	0	D	A	276430	276441	279147	280173	282191	7	1	1	0.6	2705	0	
2	1	1	1	0	X	K	286509	286524	288647	289673	291690	8	0	1	1.2	2123	1	
2	2	2	1	1	N	P	292713	292723	293502	294521	296540	7	1	-1	1	778		1
2	3	2	1	0	P	N	297562	297573	298129	299155	301173	8	0	-1	0.8	555		1
2	4	1	0	1	K	X	302195	302206	305202	306237	308255	8	0	1	1	2996	0	
2	5	1	1	1	K	X	309280	309289	309349	310370	312388	8	0	0	1	60	0	
2	6	2	1	0	P	N	313412	313422	316894	317919	319938	8	0	-1	0.8	3472		1
2	7	2	1	1	N	P	320960	320971	321499	322520	324537	8	0	0	0.8	527		0
2	8	1	1	0	X	K	325560	325570	328102	329135	331153	8	0	1	1	2531	1	
2	9	2	0	1	N	P	332176	332187	334386	335418	337436	8	0	-1	0.8	2199		0
2	10	1	1	1	K	X	338459	338469	338645	339667	341686	7	1	1	1	175	1	
2	11	2	1	0	P	N	342708	342719	345518	346550	348569	8	0	-1	0.8	2798		1
2	12	1	0	0	X	K	349591	349602	351663	352683	354701	7	1	1	1	2061	0	
2	13	1	1	1	K	X	355723	355734	358236	359266	361284	7	1	1	1.2	2501	1	
2	14	2	0	0	P	N	362306	362317	363125	364148	366167	7	1	-1	1	807		0
2	15	2	1	1	N	P	367189	367200	367613	368649	370667	7	1	-1	0.8	412		1
2	16	1	1	0	X	K	371689	371700	372168	373199	375216	7	1	0	0.8	467	0	
2	17	2	0	1	N	P	376238	376249	378636	379666	381682	7	1	0	0.8	2386		1
2	18	1	1	1	K	X	382704	382715	385548	386580	388598	7	1	1	1	2832	1	
2	19	2	1	0	P	N	389620	389632	391775	392797	394815	7	1	0	1	2143		0
