Participant.ID,Edge Strengths,Non.Weight
P001,7.02E+00,9.74E+00
P002,-5.09E+00,-6.73E+00
P003,1.06E-01,2.91E-01
P004,-1.62E+00,-2.32E+00
P005,6.26E+00,8.86E+00
P006,-3.14E+00,-3.09E+00
P007,-4.95E+00,-5.74E+00
P009,-1.69E+00,-2.25E+00
P010,-3.59E+00,-4.66E+00
P011,-1.09E+00,-1.43E+00
P012,-2.77E+00,-3.52E+00
P013,-2.29E+00,-2.89E+00
P014,9.16E-01,1.60E+00
P015,-2.65E-01,-5.74E-01
P016,-3.82E-01,-8.62E-01
P017,-4.34E+00,-5.79E+00
P018,5.12E-01,4.04E-01
P019,-5.56E-01,-1.17E+00
P020,-6.24E-01,-9.36E-01
P021,3.16E+00,4.60E+00
P022,6.55E-02,1.05E-01
P023,-8.41E-01,-1.39E+00
P024,-4.90E+00,-5.41E+00
P026,1.07E+00,1.31E+00
P027,4.04E-01,6.53E-01
P028,-7.18E-01,-9.83E-01
P029,7.15E-01,8.96E-01
P030,5.09E-01,2.10E-01
P031,9.17E-01,1.45E+00
P032,2.57E-01,5.01E-01
P033,-6.66E-01,-9.35E-01
P034,2.75E+00,3.86E+00
P035,1.43E+00,1.93E+00
P036,5.65E-01,2.99E-01
P037,1.36E+00,9.48E-01
P038,2.16E-01,-1.28E-01
P039,-1.03E+00,-7.13E-01
P040,-2.99E+00,-3.79E+00
P041,-1.75E+00,-2.02E+00
P042,9.67E-01,8.93E-01
P043,7.20E-01,7.25E-01
P044,2.56E+00,3.24E+00
P045,-3.64E+00,-5.28E+00
P046,-2.90E+00,-3.78E+00
P047,2.64E+00,3.31E+00
P048,-2.22E-01,-4.45E-01
P049,5.32E-01,6.26E-01
P050,-2.52E+00,-3.73E+00
P051,-2.30E+00,-3.00E+00
P054,6.29E-02,5.34E-01
P056,-7.61E-01,-1.40E+00
P057,1.30E-01,-2.06E-02
